y;names.y.
276;puruSavyAghra
233;naravyAghra
17;manujavyAghra
3;vRSNyandhakavyAghra
2;savyAghra
1;mahAvyAghra
1;rathasiMhAsanavyAghra
1;suravyAghra
1;yaduvyAghra
