"";"met";"sz";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"total"
"66";"oxxoxo";6;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;996
"67";"oooxxo";6;50,6;0;0,3;0;0;0;0;0;49,1;0;0;0;0;0;0;0;798
"68";"oxxooo";6;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;762
"69";"xooxxo";6;47,9;0;10,2;0;0;0;0;0;41,9;0;0;0;0;0;0;0;752
"70";"ooxooo";6;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;735
"71";"xxooxo";6;58,3;0;0;0;0;0;0;0;41,7;0;0;0;0;0;0;0;679
"72";"ooxoox";6;8,1;0;91,9;0;0;0;0;0;0;0;0;0;0;0;0;0;641
"73";"xxxoxo";6;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;637
"74";"xxoxxo";6;51,9;0;0;0;0;0;0;0;48,1;0;0;0;0;0;0;0;566
"75";"ooooxo";6;47,6;0;0;0;0;0;0;0;52,4;0;0;0;0;0;0;0;527
"76";"xxxooo";6;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;517
"77";"xoooxo";6;55,7;0;0;0;0;0;0;0;44,3;0;0;0;0;0;0;0;451
"78";"oxxoox";6;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;440
"79";"xxxoox";6;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;342
"80";"xoxoox";6;20,2;0;79,8;0;0;0;0;0;0;0;0;0;0;0;0;0;287
"81";"xoxoxo";6;98,6;0;0,7;0;0;0;0;0;0,4;0;0,4;0;0;0;0;0;276
"82";"xoxooo";6;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;198
