"";"wo";"wID";"freq";"as";"es";"sz";"exz";"laff1";"laff2"
"124790";"parighabAhavaH";124790;13;11;16;6;0;0,54;0,69
"165855";"satyaparAkrama";165855;13;11;16;6;0;0,23;0,31
"140265";"priyacikIrSayA";140265;12;11;16;6;0;0,25;0,42
"142817";"puruSasiMhayoH";142817;12;11;16;6;0;0,92;1
"145439";"rAjIvalocanaH";145439;12;11;16;6;0;0,42;0,5
"184280";"trElokyaviZrutam";184280;12;11;16;6;0;0,67;0,75
"6903";"akliSTakAriNam";6903;11;11;16;6;0;0,36;0,64
"8369";"amitatejasaH";8369;11;11;16;6;0;0,36;0,45
"22330";"AZIviSopamAn";22330;11;11;16;6;0;0,64;0,82
"89147";"krodhasamanvitaH";89147;11;11;16;6;0;0,18;0,27
"89599";"kRSNadhanaMjayO";89599;11;11;16;6;0;0,18;0,27
"123876";"paramavalgunA";123876;11;11;16;6;0;1;1
